Price,SP500,DE Ratio,Trailing P/E,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Forward P/E,PEG Ratio,Enterprise Value/EBITDA,Revenue,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Short Ratio,Short % of Float,Shares Short (prior 
-0.373944344,-0.303248323,0.033968718,-0.411572195,-0.209007304,-0.785997665,-0.805672704,-1.029025716,-0.345757474,-0.391988855,-0.467229052,-0.657705314,-0.117602239,-0.839871485,-0.745123413,-0.661052483,0.967949184,0.351098016,-0.290114087,-0.037929051,0.054099716,-0.243345282,-0.256669938,-0.273027692,1.185394555,-0.51005884,-0.833782664,-0.514021433,0.372109872,1.76654825
-0.380479403,0.093458583,0.086183534,-0.026999699,-0.20807542,-1.073298445,-1.069660213,-1.259346256,-0.423082418,-0.3911332,-0.470491806,-0.799324424,-0.075888644,-0.708064068,-0.752915404,-0.825793362,0.08144773,-0.789698425,-0.246197795,-0.03792905,0.070919431,-0.283367659,-0.291861418,-0.281265256,1.02873949,-0.512476955,-0.628140821,-0.276516658,0.666841506,1.959794506
-0.397765686,1.592796417,0.061336483,0.332611244,-0.207609479,-1.1303361,-1.322532458,-1.477955581,-0.45313287,-0.422150681,-0.47523763,-0.592076946,0.011165815,-0.502599565,-0.752915404,-0.868398762,-0.005232412,-0.673403642,-0.267110315,-0.03792905,0.038844626,-0.301559649,-0.324737668,-0.300247467,0.916843014,-0.510864878,-0.914957076,0.469926921,0.666841506,1.869871522
-0.388490119,1.613221848,0.061336483,0.352086741,-0.206677595,-1.1303361,-1.322532458,-1.477955581,-0.45313287,-0.422150681,-0.472716411,-0.536810952,0.027488526,-0.481923892,-0.745123413,-0.868398762,-0.005232412,-0.673403642,-0.267110315,-0.03792905,0.038844626,-0.301559649,-0.324737668,-0.300247467,0.916843014,-0.510864878,-0.914957076,0.334209907,0.982625401,1.996821617
-0.856906235,-1.13538715,-0.542302794,1.086669583,-0.129331286,-0.991966974,-1.392002855,-1.198838317,-0.405675144,-0.479992936,-0.440830406,2.479791224,0.028697616,1.266462724,-0.686683477,-0.801934339,-0.417357088,-0.385435608,0.049714363,-0.037929029,-0.31006666,0.324608634,-0.345945165,-0.346771793,0.738927619,-0.431873108,-0.480944555,-0.521485869,-0.107881647,0.038969037
-0.852690068,-1.357353726,-0.542350808,0.831567999,-0.127001578,-0.94971686,-1.328090089,-1.091485523,-0.390466683,-0.461361056,-0.429559074,2.174676882,0.014188539,0.855533719,-0.682787481,-0.772678631,-0.417357088,-0.385435608,0.089448151,-0.037929028,-0.31006666,0.323153274,-0.3250618,-0.346771793,0.787043103,-0.421394608,-0.577812686,-0.72234705,-0.04893532,-0.127124004
-0.843414501,-1.104689914,-0.542350808,1.239730534,-0.092055956,-0.94971686,-1.328090089,-1.091485523,-0.390466683,-0.461361056,-0.381804219,2.93688705,0.058320314,2.119334244,-0.499675681,-0.772678631,-0.417357088,-0.385435608,0.089448151,-0.037929028,-0.31006666,0.323153274,-0.3250618,-0.339501248,0.851943059,-0.421394608,-0.40518177,-0.447520096,0.056325978,-0.115839552
-0.802939302,-0.694228416,-0.545771779,1.76447175,-0.003527048,-0.889510446,-1.241020525,-0.941191612,-0.36774561,-0.435220806,-0.239874419,2.480942599,-0.012411434,6.494823588,-0.075012146,-0.729505159,-0.417357088,-0.385435608,0.140683825,-0.037929025,-0.31006666,0.219458934,-0.303067126,-0.339501248,0.82173101,-0.415752339,-0.158952722,-0.680953361,0.292111285,-0.131708313
-0.79682586,-0.796357009,-0.546383952,0.925653852,-0.003527048,-0.69199116,-0.984443192,-0.402475773,-0.288038617,-0.368950353,-0.172246427,1.704915932,-0.042638677,3.021310488,-0.110076108,-0.577545899,1.89779071,1.015639633,0.244200799,-0.037929021,-0.31006666,0.200903104,-0.240833772,-0.326249515,0.860894777,-0.398825531,-0.212527833,-0.889957563,-0.004725575,0.11690229
-0.787761102,-0.625394919,-0.546383952,1.055124764,0.021167858,-0.69199116,-0.984443192,-0.402475773,-0.288038617,-0.368950353,-0.136949361,1.990456902,-0.029943235,2.689207487,0.022387747,-0.578682043,1.89779071,1.015639633,0.244200799,-0.037929022,-0.31006666,0.200903104,-0.240833772,-0.326249515,0.860894777,-0.393183262,-0.338618753,-0.934404886,0.052115526,-0.060122565
